Facility Code,Facility Name,Division,Type,Owner,Location,Constituency,Beds,Cots,Job Title of in Charge,Open 24 Hours,Open Weekends,Operational Status,ART,C-IMCI,FP,HBC,IPD,Mapped_Constituency,Constituencies,Total Population,Male Population,Female Population
13248,vision peoples inter health centre,kasarani,health centre,other faith based,ruaraka,ruaraka,0,0,,n,n,operational,n,n,y,n,y,kasarani,KASARANI,"780,656","381,234","399,385"
17687,viva afya kayole,kayole,medical clinic,private practice - clinical officer,kayole,embakasi central,0,0,clinical officer,n,y,operational,n,n,n,n,n,embakasi,EMBAKASI,"988,808","492,476","496,270"
18368,viva afya medical clinic (matopeni),njiru,medical clinic,private practice - general practitioner,njiru,embakasi west,0,0,,n,n,operational,n,n,n,n,n,embakasi,EMBAKASI,"988,808","492,476","496,270"
18323,vostrum clinic,kibra,medical clinic,non-governmental organizations,kibra,kibra,0,0,clinical officer,n,y,operational,n,n,n,n,n,kibra,KIBRA,"185,777","94,199","91,569"
18344,afya house dispensary,knh golf course,dispensary,ministry of health,community,kibra,0,0,nursing officer in charge,n,n,operational,n,n,n,n,n,kibra,KIBRA,"185,777","94,199","91,569"
19621,afya medical clinic (dandora),dandora,medical clinic,private practice - general practitioner,dandora,embakasi north,0,0,,n,y,operational,n,n,n,n,n,embakasi,EMBAKASI,"988,808","492,476","496,270"
19514,blessed medical clinic,kibra,medical clinic,private enterprise (institution),kibra,kibra,0,0,,n,y,operational,n,n,n,n,n,kibra,KIBRA,"185,777","94,199","91,569"
21219,bliss health care limited,starehe,medical clinic,private practice - general practitioner,landi mawe,starehe,0,0,hospital director,n,y,operational,n,n,n,n,n,starehe,STAREHE,"210,423","109,173","101,238"
21050,blissgvs health care pipeline,embakasi,medical clinic,private practice - clinical officer,pipeline,embakasi east,0,0,clinical officer,n,y,operational,n,n,n,n,n,embakasi,EMBAKASI,"988,808","492,476","496,270"
12885,blue house dispensary,eastleigh north,dispensary,non-governmental organizations,eastleigh section i,kamukunji,0,0,,n,n,operational,y,n,y,y,y,kamukunji,KAMUKUNJI,"268,276","136,670","131,599"
19561,bodaki health centre,kangemi,medical clinic,private practice - medical specialist,kangemi,westlands,0,0,,n,y,operational,n,n,n,n,n,westlands,WESTLANDS,"308,854","153,818","155,021"
18805,bodaki medical clinic,kawangware,medical clinic,private practice - nurse / midwife,kawangware,dagoretti north,4,0,nursing officer in charge,y,y,operational,n,n,n,n,n,dagoretti,DAGORETTI,"434,208","217,651","216,526"
18273,buruburu friends clinic,embakasi,medical clinic,non-governmental organizations,embakasi,embakasi east,0,0,nursing officer in charge,n,n,operational,n,n,n,n,n,embakasi,EMBAKASI,"988,808","492,476","496,270"
12888,buruburu medical clinic,makadara,medical clinic,private enterprise (institution),makadara,makadara,0,0,,n,n,operational,n,n,y,n,y,makadara,MAKADARA,"189,536","96,369","93,157"
19504,child doctor kenya,woodley,dispensary,private enterprise (institution),woodley,kibra,0,0,hospital director,n,n,operational,n,n,n,n,n,kibra,KIBRA,"185,777","94,199","91,569"
17951,children medical clinic (kasarani),kasarani,dispensary,private enterprise (institution),kasarani,kasarani,0,0,nursing officer in charge,n,n,operational,n,n,n,n,n,kasarani,KASARANI,"780,656","381,234","399,385"
19589,chiromo medical centre,parklands,medical clinic,private enterprise (institution),parklands,westlands,5,5,,y,y,operational,n,n,n,n,n,westlands,WESTLANDS,"308,854","153,818","155,021"
12909,dagoretti approved dispensary,dagoretti,dispensary,ministry of health,uthiru/ruthimitu,dagoretti south,0,0,nursing officer in charge,n,n,operational,n,n,n,n,n,dagoretti,DAGORETTI,"434,208","217,651","216,526"
20189,dagoretti community dispesary,dagoretti,dispensary,non-governmental organizations,ngando,dagoretti south,0,0,hospital director,n,n,operational,n,n,n,n,n,dagoretti,DAGORETTI,"434,208","217,651","216,526"
19545,damic dental x-ray services,central,dental clinic,private practice - unspecified,central,starehe,0,0,,n,n,operational,n,n,n,n,n,starehe,STAREHE,"210,423","109,173","101,238"
12911,dandora (edarp) clinic,dandora,medical clinic,kenya episcopal conference-catholic secretariat,dandora,embakasi west,0,0,,n,n,operational,y,n,y,y,y,embakasi,EMBAKASI,"988,808","492,476","496,270"
17997,dandora health service,dandora,medical clinic,private practice - general practitioner,dandora,embakasi north,0,0,nursing officer in charge,n,y,operational,n,n,n,n,n,embakasi,EMBAKASI,"988,808","492,476","496,270"
12913,dandora i health centre,embakasi,health centre,local authority,dandora,embakasi north,0,0,nursing officer in charge,n,n,operational,y,n,y,y,y,embakasi,EMBAKASI,"988,808","492,476","496,270"
12912,dandora ii health centre,dandora,health centre,local authority,dandora,embakasi north,12,1,nursing officer in charge,n,n,operational,y,n,y,y,y,embakasi,EMBAKASI,"988,808","492,476","496,270"
19617,dandora medical and laboratory services (kojwang),dandora,medical clinic,private practice - general practitioner,dandora,embakasi north,0,0,,n,y,operational,n,n,n,n,n,embakasi,EMBAKASI,"988,808","492,476","496,270"
18220,dandora medical centre,njiru,medical clinic,private practice - unspecified,dandora,kasarani,0,0,nursing officer in charge,n,y,operational,n,n,n,n,n,kasarani,KASARANI,"780,656","381,234","399,385"
19568,dr kishor j d medical centre,central,medical clinic,private practice - general practitioner,central,starehe,0,0,,n,n,operational,n,n,n,n,n,starehe,STAREHE,"210,423","109,173","101,238"
19420,dr m s saroya medical clinic (nairobi),central,medical clinic,private practice - general practitioner,central,starehe,0,0,doctor in charge,n,n,operational,n,n,n,n,n,starehe,STAREHE,"210,423","109,173","101,238"
20106,dr maina ruga medical clinic,city centre,medical clinic,private practice - general practitioner,city center,starehe,0,0,,n,y,operational,n,n,n,n,n,starehe,STAREHE,"210,423","109,173","101,238"
19419,dr maina skin clinic (ngara),ngara,medical clinic,private practice - unspecified,ngara,starehe,0,0,doctor in charge,n,y,operational,n,n,n,n,n,starehe,STAREHE,"210,423","109,173","101,238"
20078,farmers choice wellness centre clinic,kasarani,medical clinic,private practice - unspecified,kahawa west,roysambu,0,0,nursing officer in charge,n,y,operational,n,n,n,n,n,kasarani,KASARANI,"780,656","381,234","399,385"
12943,flack clinic,south b,medical clinic,private practice - nurse / midwife,nairobi south,makadara,0,0,nursing officer in charge,n,n,operational,n,n,y,n,y,makadara,MAKADARA,"189,536","96,369","93,157"
18472,flomed med clinic,kasarani,medical clinic,private practice - nurse / midwife,kasarani,kasarani,0,0,nursing officer in charge,n,y,operational,n,n,n,n,n,kasarani,KASARANI,"780,656","381,234","399,385"
12947,garrison health centre,embakasi,health centre,armed forces,embakasi,embakasi east,0,0,,n,n,operational,y,n,y,y,y,embakasi,EMBAKASI,"988,808","492,476","496,270"
12955,giovanna dispensary,kasarani,dispensary,private enterprise (institution),roysambu,roysambu,0,0,,n,n,operational,n,n,y,n,y,kasarani,KASARANI,"780,656","381,234","399,385"
19619,good neighbours medical clinic (dandora),dandora,medical clinic,non-governmental organizations,dandora,embakasi north,0,0,,n,y,operational,n,n,n,n,n,embakasi,EMBAKASI,"988,808","492,476","496,270"
12959,good samaritan dispensary,kasarani,dispensary,private enterprise (institution),kasarani,kasarani,0,0,,n,n,operational,n,n,y,n,y,kasarani,KASARANI,"780,656","381,234","399,385"
12960,good shepherd dispensary,dagoretti,dispensary,private enterprise (institution),mutuini,dagoretti south,0,0,nursing officer in charge,n,n,operational,n,n,y,n,y,dagoretti,DAGORETTI,"434,208","217,651","216,526"
12969,hono clinic,makadara,dispensary,local authority,jericho lumumba,makadara,0,0,nursing officer in charge,n,n,operational,n,n,y,n,y,makadara,MAKADARA,"189,536","96,369","93,157"
16802,jonalifa clinic,dagoretti,medical clinic,non-governmental organizations,kawangware,dagoretti north,8,0,hospital director,y,y,operational,n,n,n,n,n,dagoretti,DAGORETTI,"434,208","217,651","216,526"
20450,josiah community medical centre,mukuru,medical clinic,private practice - clinical officer,kwa njenga,embakasi south,4,2,clinical officer,y,y,operational,n,n,n,n,n,embakasi,EMBAKASI,"988,808","492,476","496,270"
19300,josnik clinic,roysambu,medical clinic,private practice - general practitioner,githurai,roysambu,0,0,clinical officer,n,y,operational,n,n,n,n,n,kasarani,KASARANI,"780,656","381,234","399,385"
19312,kam ent services,central,medical clinic,private practice - medical specialist,central,starehe,0,0,doctor in charge,n,y,operational,n,n,n,n,n,starehe,STAREHE,"210,423","109,173","101,238"
19313,kam health services,central,medical clinic,private practice - general practitioner,central,starehe,0,0,,n,y,operational,n,n,n,n,n,starehe,STAREHE,"210,423","109,173","101,238"
18505,kemri mimosa,knh golf course,dispensary,ministry of health,woodley,kibra,0,0,,n,y,operational,n,n,n,n,n,kibra,KIBRA,"185,777","94,199","91,569"
13019,kemri vct,kibra,vct centre (stand-alone),ministry of health,golfcourse,kibra,40,0,nursing officer in charge,n,n,operational,y,n,n,y,n,kibra,KIBRA,"185,777","94,199","91,569"
20146,kemri/cdc health services,kariokor,medical centre,non-governmental organizations,mathare,mathare,0,0,,n,y,operational,n,n,n,n,n,mathare,MATHARE,"206,564","106,522","100,028"
18357,kemsa staff clinic,viwandani,dispensary,ministry of health,landi mawe,starehe,0,0,,n,n,operational,n,n,n,n,n,starehe,STAREHE,"210,423","109,173","101,238"
13020,kenwa,central,dispensary,non-governmental organizations,central business district,starehe,0,0,,n,n,operational,n,n,n,y,n,starehe,STAREHE,"210,423","109,173","101,238"
19330,kimathi street medical centre,central,medical clinic,private practice - general practitioner,central,starehe,0,0,,n,n,operational,n,n,n,n,n,starehe,STAREHE,"210,423","109,173","101,238"
19316,lad nan hospital,kariokor,other hospital,private enterprise (institution),kariokor,starehe,8,0,,y,y,operational,n,n,n,n,n,starehe,STAREHE,"210,423","109,173","101,238"
20406,lina medical services,embakasi,dispensary,community,embakasi,embakasi east,6,2,nursing officer in charge,n,y,operational,n,n,n,n,n,embakasi,EMBAKASI,"988,808","492,476","496,270"
20623,lindi community clinic,kibra,dispensary,ministry of health,kibra,kibra,0,0,nursing officer in charge,n,n,operational,n,n,n,n,n,kibra,KIBRA,"185,777","94,199","91,569"
18611,lithi clinic,eastleigh south,medical clinic,private practice - unspecified,kiambiu,kamukunji,0,0,clinical officer,y,y,operational,n,n,n,n,n,kamukunji,KAMUKUNJI,"268,276","136,670","131,599"
13050,liverpool vct,kilimani,vct centre (stand-alone),non-governmental organizations,kilimani,dagoretti north,0,0,,n,n,operational,y,n,n,y,n,dagoretti,DAGORETTI,"434,208","217,651","216,526"
19481,lumumba medical clinic,makadara,medical clinic,private practice - clinical officer,lumumba,makadara,0,0,clinical officer,y,y,operational,n,n,n,n,n,makadara,MAKADARA,"189,536","96,369","93,157"
13053,lunga lunga health centre,makadara,dispensary,local authority,viwandani,makadara,0,0,nursing officer in charge,n,n,operational,y,n,y,y,y,makadara,MAKADARA,"189,536","96,369","93,157"
13056,makadara health centre,makadara,health centre,ministry of health,makadara,makadara,19,0,nursing officer in charge,y,y,operational,y,n,y,y,y,makadara,MAKADARA,"189,536","96,369","93,157"
13057,makadara mercy sisters dispensary,makadara,medical clinic,kenya episcopal conference-catholic secretariat,makadara,makadara,0,0,nursing officer in charge,n,y,operational,y,y,n,y,y,makadara,MAKADARA,"189,536","96,369","93,157"
13058,makina clinic,kibra,dispensary,community,kibra,kibra,0,0,clinical officer,y,y,operational,n,n,y,n,y,kibra,KIBRA,"185,777","94,199","91,569"
18985,maranatha medical services,kibra,medical clinic,private practice - general practitioner,kibra,kibra,0,0,nursing officer in charge,n,y,operational,n,n,n,n,n,kibra,KIBRA,"185,777","94,199","91,569"
13061,maria dominica dispensary,lang'ata,dispensary,kenya episcopal conference-catholic secretariat,karen,lang'ata,0,0,nursing officer in charge,n,n,operational,n,n,n,y,y,langata,LANGATA,"197,489","96,698","100,774"
13062,maria immaculate health centre,kileleshwa,health centre,kenya episcopal conference-catholic secretariat,lavington,dagoretti north,27,2,hospital director,y,y,operational,y,n,n,y,y,dagoretti,DAGORETTI,"434,208","217,651","216,526"
13063,maria maternity and nursing home,embakasi,maternity home,private practice - general practitioner,kayole,embakasi central,20,4,,n,n,operational,n,n,y,y,y,embakasi,EMBAKASI,"988,808","492,476","496,270"
20276,maria medical clinic and diadetic centre(saika),njiru,medical clinic,private practice - general practitioner,njiru,kasarani,0,0,nursing officer in charge,n,y,operational,n,n,n,n,n,kasarani,KASARANI,"780,656","381,234","399,385"
13064,mariakani cottage hospital ltd,south b,nursing home,private enterprise (institution),nairobi south,starehe,44,6,nursing officer in charge,y,y,operational,y,y,y,y,y,starehe,STAREHE,"210,423","109,173","101,238"
19432,mariakani cottage hospital utawala clinic,embakasi,medical clinic,private practice - medical specialist,utawala,embakasi east,5,2,nursing officer in charge,y,y,operational,n,n,n,n,n,embakasi,EMBAKASI,"988,808","492,476","496,270"
16166,marie stopes clinic (dagoretti),dagoretti,dispensary,non-governmental organizations,golfcourse,kibra,0,0,,n,n,operational,n,n,y,y,n,kibra,KIBRA,"185,777","94,199","91,569"
13065,marie stopes clinic (kencom),central,dispensary,non-governmental organizations,central business district,starehe,0,0,,n,n,operational,n,y,y,y,y,starehe,STAREHE,"210,423","109,173","101,238"
13067,marie stopes clinic (kilimani),kilimani,dispensary,non-governmental organizations,kilimani,dagoretti north,0,0,,n,n,operational,n,n,y,y,y,dagoretti,DAGORETTI,"434,208","217,651","216,526"
16167,marie stopes clinic (langata),kibra,medical clinic,non-governmental organizations,makina,kibra,0,0,nursing officer in charge,n,n,operational,n,n,y,y,n,kibra,KIBRA,"185,777","94,199","91,569"
13066,marie stopes clinic (pangani),kariokor,medical clinic,non-governmental organizations,pangani,starehe,0,0,nursing officer in charge,n,y,operational,y,n,n,y,n,starehe,STAREHE,"210,423","109,173","101,238"
13068,marie stopes nursing home (eastleigh),eastleigh north,nursing home,non-governmental organizations,eastleigh section i,kamukunji,15,10,,y,y,operational,n,y,y,y,y,kamukunji,KAMUKUNJI,"268,276","136,670","131,599"
13069,maringo clinic,makadara,dispensary,local authority,maringo,makadara,0,0,nursing officer in charge,n,n,operational,n,n,y,n,y,makadara,MAKADARA,"189,536","96,369","93,157"
20089,marist international university college medical clinic,lang'ata,medical clinic,kenya episcopal conference-catholic secretariat,langata,lang'ata,0,0,nursing officer in charge,n,n,operational,n,n,n,n,n,langata,LANGATA,"197,489","96,698","100,774"
16798,mawamu clinic,kangemi,medical clinic,private enterprise (institution),kangemi,westlands,0,0,,n,n,operational,n,n,n,n,n,westlands,WESTLANDS,"308,854","153,818","155,021"
19403,max family health care,kasarani,medical clinic,private practice - general practitioner,githurai,roysambu,0,0,nursing officer in charge,n,y,operational,n,n,n,n,n,kasarani,KASARANI,"780,656","381,234","399,385"
13070,marura nursing home,kasarani,nursing home,private enterprise (institution),ruaraka,ruaraka,32,5,clinical officer,y,y,operational,y,n,y,y,y,kasarani,KASARANI,"780,656","381,234","399,385"
13071,marurui dispensary,kasarani,dispensary,private enterprise (institution),githurai,roysambu,0,0,,n,n,operational,y,n,n,y,n,kasarani,KASARANI,"780,656","381,234","399,385"
12982,mary immaculate clinic mukuru,south b,medical clinic,other faith based,mukuru nyayo,starehe,0,0,nursing officer in charge,n,n,operational,y,n,n,y,y,starehe,STAREHE,"210,423","109,173","101,238"
13072,mary immaculate sisters dispensary,bahati,dispensary,other faith based,bahati,makadara,0,0,,n,y,operational,n,n,y,n,y,makadara,MAKADARA,"189,536","96,369","93,157"
17514,mary mission,riruta,health centre,private enterprise (institution),wanyee road,dagoretti south,6,2,,y,y,operational,n,n,n,n,n,dagoretti,DAGORETTI,"434,208","217,651","216,526"
13075,mathare 3a (edarp),central,vct centre (stand-alone),kenya episcopal conference-catholic secretariat,mathare,mathare,0,0,,n,n,operational,y,n,n,y,n,mathare,MATHARE,"206,564","106,522","100,028"
13077,mathare north health centre,kasarani,health centre,local authority,ruaraka,ruaraka,24,4,nursing officer in charge,n,n,operational,y,n,y,y,y,kasarani,KASARANI,"780,656","381,234","399,385"
13078,mathare police depot,central,dispensary,ministry of health,mathare,mathare,0,0,,n,n,operational,n,n,n,n,n,mathare,MATHARE,"206,564","106,522","100,028"
13076,mathari hospital,kariokor,district hospital,ministry of health,mathare,mathare,700,0,medical superintendant,y,y,operational,y,n,n,y,n,mathare,MATHARE,"206,564","106,522","100,028"
17947,loreigns medical services (kasarani),kasarani,medical clinic,private practice - unspecified,kasarani,kasarani,0,0,,y,y,operational,n,n,n,n,n,kasarani,KASARANI,"780,656","381,234","399,385"
13052,lower kabete dispensary (kabete),kitisuru,dispensary,local authority,l/kabete,westlands,0,0,nursing officer in charge,n,n,operational,n,n,n,n,n,westlands,WESTLANDS,"308,854","153,818","155,021"
19600,madaktari health clinic (njiru),njiru,medical clinic,private practice - unspecified,njiru,kasarani,0,0,,n,y,operational,n,n,n,n,n,kasarani,KASARANI,"780,656","381,234","399,385"
13055,madina nursing home,eastleigh north,dispensary,private enterprise (institution),eastleigh north,kamukunji,24,4,nursing officer in charge,y,y,operational,y,n,y,y,y,kamukunji,KAMUKUNJI,"268,276","136,670","131,599"
19473,maendereo medical clinic,makadara,medical clinic,private practice - nurse / midwife,makadara,makadara,0,0,nursing officer in charge,y,y,operational,n,n,n,n,n,makadara,MAKADARA,"189,536","96,369","93,157"
19308,maisha house vct (noset),ngara,vct centre (stand-alone),non-governmental organizations,ramesh gautama road,starehe,0,0,,n,n,operational,n,n,n,n,n,starehe,STAREHE,"210,423","109,173","101,238"
19542,maisha poa dispensary,riruta,medical clinic,private practice - general practitioner,riruta,dagoretti north,0,0,,n,y,operational,n,n,n,n,n,dagoretti,DAGORETTI,"434,208","217,651","216,526"
20624,makina community clinic,kibra,dispensary,ministry of health,kibra,kibra,0,0,nursing officer in charge,n,n,operational,n,n,n,n,n,kibra,KIBRA,"185,777","94,199","91,569"
13059,makkah nursing home,eastleigh north,nursing home,private enterprise (institution),eastleigh section i,kamukunji,0,0,,n,n,operational,n,y,y,n,y,kamukunji,KAMUKUNJI,"268,276","136,670","131,599"
13060,makogeni clinic,makadara,dispensary,local authority,viwandani,makadara,0,0,,n,n,not-operational,n,n,y,n,y,makadara,MAKADARA,"189,536","96,369","93,157"
18895,korogocho health centre,kasarani,health centre,ministry of health,korogocho,roysambu,12,2,nursing officer in charge,n,n,operational,n,n,n,n,n,kasarani,KASARANI,"780,656","381,234","399,385"
20340,kttid dispensary,langata,dispensary,ministry of health,karen,lang'ata,0,0,nursing officer in charge,n,n,operational,n,n,n,n,n,langata,LANGATA,"197,489","96,698","100,774"
13038,komarock medical clinic,embakasi,medical clinic,private enterprise (institution),kayole,embakasi central,0,0,,n,n,operational,n,n,y,y,y,embakasi,EMBAKASI,"988,808","492,476","496,270"
17717,komarock morden medical care,embakasi,health centre,private practice - general practitioner,kayole,embakasi central,40,0,clinical officer,y,y,operational,n,n,n,n,n,embakasi,EMBAKASI,"988,808","492,476","496,270"
19372,kwetu medical clinic,kasarani,medical clinic,private practice - general practitioner,kasarani,kasarani,0,0,nursing officer in charge,n,y,operational,n,n,n,n,n,kasarani,KASARANI,"780,656","381,234","399,385"
18827,kwosp (korogocho),kariobangi,vct centre (stand-alone),non-governmental organizations,kariobangi,kasarani,0,0,,n,n,operational,n,n,n,n,n,kasarani,KASARANI,"780,656","381,234","399,385"
